module,enabled,source
Amasty_LibSplideJs,1,"production app/etc/config.php"
Amasty_Mage248Fix,1,"production app/etc/config.php"
Amasty_Mostviewed,1,"production app/etc/config.php"
Amasty_Number,1,"production app/etc/config.php"
Amasty_PageSpeedOptimizer,1,"production app/etc/config.php"
Amasty_PageSpeedOptimizerPro,1,"production app/etc/config.php"
Amasty_PageSpeedTools,1,"production app/etc/config.php"
Amasty_ProductAttachment,0,"production app/etc/config.php"
Amasty_ProductAttachmentLite,0,"production app/etc/config.php"
Amasty_Promo,1,"production app/etc/config.php"
Amasty_PromoBanners,1,"production app/etc/config.php"
Amasty_Reindex,1,"production app/etc/config.php"
Amasty_Rgrid,1,"production app/etc/config.php"
Amasty_Rules,1,"production app/etc/config.php"
Amasty_RulesPro,1,"production app/etc/config.php"
Amasty_SalesRuleWizard,1,"production app/etc/config.php"
Amasty_ShippingArea,1,"production app/etc/config.php"
Amasty_ShippingSuitePro,1,"production app/etc/config.php"
Amasty_ShippingSuiteProSubscriptionPackage,1,"production app/etc/config.php"
Amasty_ShippingTableRates,1,"production app/etc/config.php"
Amasty_Shiprestriction,1,"production app/etc/config.php"
Amasty_Shiprules,1,"production app/etc/config.php"
Amasty_Shopby,1,"production app/etc/config.php"
Amasty_ShopbyBase,1,"production app/etc/config.php"
Amasty_ShopbyBrand,1,"production app/etc/config.php"
Amasty_ShopbyBrandGraphQl,1,"production app/etc/config.php"
Amasty_ShopbyGraphQl,1,"production app/etc/config.php"
Amasty_ShopbyPage,1,"production app/etc/config.php"
Amasty_ShopbyPro,1,"production app/etc/config.php"
Amasty_ShopbySeo,1,"production app/etc/config.php"
Amasty_SpecialPromotionsLite,0,"production app/etc/config.php"
Amasty_StoreCredit,1,"production app/etc/config.php"
Amasty_VisualMerch,1,"production app/etc/config.php"
Amasty_VisualMerchCore,1,"production app/etc/config.php"
Amasty_VisualMerchUi,1,"production app/etc/config.php"
Bss_ConfiguableGridView,1,"production app/etc/config.php"
Cminds_Salesrep,1,"production app/etc/config.php"
Firebear_FirebearExtended,1,"production app/etc/config.php"
Firebear_ImportExport,1,"production app/etc/config.php"
Firebear_ImportExportMsi,1,"production app/etc/config.php"
MageSuite_Magepack,1,"production app/etc/config.php"
MageWorx_DynamicOptionsBase,0,"production app/etc/config.php"
MageWorx_GoogleAI,1,"production app/etc/config.php"
MageWorx_HtmlSitemap,1,"production app/etc/config.php"
MageWorx_Info,1,"production app/etc/config.php"
MageWorx_OpenAI,1,"production app/etc/config.php"
MageWorx_OptionAdvancedPricing,0,"production app/etc/config.php"
MageWorx_OptionBase,0,"production app/etc/config.php"
MageWorx_OptionDependency,0,"production app/etc/config.php"
MageWorx_OptionFeatures,0,"production app/etc/config.php"
MageWorx_OptionHealthChecker,1,"production app/etc/config.php"
MageWorx_OptionImportExport,0,"production app/etc/config.php"
MageWorx_OptionInventory,0,"production app/etc/config.php"
MageWorx_OptionLink,0,"production app/etc/config.php"
MageWorx_OptionSkuPolicy,0,"production app/etc/config.php"
MageWorx_OptionSwatches,0,"production app/etc/config.php"
MageWorx_OptionTemplates,0,"production app/etc/config.php"
MageWorx_OptionVisibility,0,"production app/etc/config.php"
MageWorx_OrderEditor,1,"production app/etc/config.php"
MageWorx_OrdersBase,1,"production app/etc/config.php"
MageWorx_OrdersGrid,1,"production app/etc/config.php"
MageWorx_SeoAI,1,"production app/etc/config.php"
MageWorx_SeoAll,1,"production app/etc/config.php"
MageWorx_SeoBase,1,"production app/etc/config.php"
MageWorx_SeoBreadcrumbs,1,"production app/etc/config.php"
MageWorx_SeoCategoryGrid,1,"production app/etc/config.php"
MageWorx_SeoCrossLinks,1,"production app/etc/config.php"
MageWorx_SeoExtended,1,"production app/etc/config.php"
MageWorx_SeoMarkup,1,"production app/etc/config.php"
MageWorx_SeoRedirects,1,"production app/etc/config.php"
MageWorx_SeoReports,1,"production app/etc/config.php"
MageWorx_SeoUrls,1,"production app/etc/config.php"
MageWorx_SeoXTemplates,1,"production app/etc/config.php"
MageWorx_ShortUrls,1,"production app/etc/config.php"
MageWorx_XmlSitemap,1,"production app/etc/config.php"
Magento_AdminAdobeIms,0,"production app/etc/config.php"
Magento_AdminAdobeImsTwoFactorAuth,1,"production app/etc/config.php"
Magento_AdminAnalytics,1,"production app/etc/config.php"
Magento_AdminGraphQlServer,1,"production app/etc/config.php"
Magento_AdminNotification,1,"production app/etc/config.php"
Magento_AdobeIms,0,"production app/etc/config.php"
Magento_AdobeImsApi,0,"production app/etc/config.php"
Magento_AdobeStockAdminUi,0,"production app/etc/config.php"
Magento_AdobeStockAsset,0,"production app/etc/config.php"
Magento_AdobeStockAssetApi,0,"production app/etc/config.php"
Magento_AdobeStockClient,0,"production app/etc/config.php"
Magento_AdobeStockClientApi,0,"production app/etc/config.php"
Magento_AdobeStockImage,0,"production app/etc/config.php"
Magento_AdobeStockImageAdminUi,0,"production app/etc/config.php"
Magento_AdobeStockImageApi,0,"production app/etc/config.php"
Magento_AdvancedPricingImportExport,1,"production app/etc/config.php"
Magento_AdvancedSearch,1,"production app/etc/config.php"
Magento_Amqp,1,"production app/etc/config.php"
Magento_Analytics,1,"production app/etc/config.php"
Magento_ApplicationPerformanceMonitor,1,"production app/etc/config.php"
Magento_ApplicationPerformanceMonitorNewRelic,1,"production app/etc/config.php"
Magento_AsyncConfig,1,"production app/etc/config.php"
Magento_AsynchronousOperations,1,"production app/etc/config.php"
Magento_Authorization,1,"production app/etc/config.php"
Magento_AwsS3,1,"production app/etc/config.php"
Magento_AwsS3PageBuilder,1,"production app/etc/config.php"
Magento_Backend,1,"production app/etc/config.php"
Magento_Backup,1,"production app/etc/config.php"
Magento_Bundle,1,"production app/etc/config.php"
Magento_BundleGraphQl,1,"production app/etc/config.php"
Magento_BundleImportExport,1,"production app/etc/config.php"
Magento_CacheInvalidate,1,"production app/etc/config.php"
Magento_Captcha,1,"production app/etc/config.php"
Magento_CardinalCommerce,0,"production app/etc/config.php"
Magento_Catalog,1,"production app/etc/config.php"
Magento_CatalogAnalytics,1,"production app/etc/config.php"
Magento_CatalogCmsGraphQl,1,"production app/etc/config.php"
Magento_CatalogCustomerGraphQl,1,"production app/etc/config.php"
Magento_CatalogGraphQl,1,"production app/etc/config.php"
Magento_CatalogImportExport,1,"production app/etc/config.php"
Magento_CatalogInventory,1,"production app/etc/config.php"
Magento_CatalogInventoryGraphQl,1,"production app/etc/config.php"
Magento_CatalogPageBuilderAnalytics,1,"production app/etc/config.php"
Magento_CatalogRule,1,"production app/etc/config.php"
Magento_CatalogRuleConfigurable,1,"production app/etc/config.php"
Magento_CatalogRuleGraphQl,1,"production app/etc/config.php"
Magento_CatalogSearch,1,"production app/etc/config.php"
Magento_CatalogUrlRewrite,1,"production app/etc/config.php"
Magento_CatalogUrlRewriteGraphQl,1,"production app/etc/config.php"
Magento_CatalogWidget,1,"production app/etc/config.php"
Magento_Checkout,1,"production app/etc/config.php"
Magento_CheckoutAgreements,1,"production app/etc/config.php"
Magento_CheckoutAgreementsGraphQl,1,"production app/etc/config.php"
Magento_Cms,1,"production app/etc/config.php"
Magento_CmsGraphQl,1,"production app/etc/config.php"
Magento_CmsPageBuilderAnalytics,1,"production app/etc/config.php"
Magento_CmsUrlRewrite,1,"production app/etc/config.php"
Magento_CmsUrlRewriteGraphQl,1,"production app/etc/config.php"
Magento_CompareListGraphQl,1,"production app/etc/config.php"
Magento_Config,1,"production app/etc/config.php"
Magento_ConfigurableImportExport,1,"production app/etc/config.php"
Magento_ConfigurableProduct,1,"production app/etc/config.php"
Magento_ConfigurableProductGraphQl,1,"production app/etc/config.php"
Magento_ConfigurableProductSales,1,"production app/etc/config.php"
Magento_Contact,1,"production app/etc/config.php"
Magento_ContactGraphQl,1,"production app/etc/config.php"
Magento_Cookie,1,"production app/etc/config.php"
Magento_Cron,1,"production app/etc/config.php"
Magento_Csp,1,"production app/etc/config.php"
Magento_CurrencySymbol,1,"production app/etc/config.php"
Magento_Customer,1,"production app/etc/config.php"
Magento_CustomerAnalytics,1,"production app/etc/config.php"
Magento_CustomerDownloadableGraphQl,1,"production app/etc/config.php"
Magento_CustomerGraphQl,1,"production app/etc/config.php"
Magento_CustomerImportExport,1,"production app/etc/config.php"
Magento_DataExporter,1,"production app/etc/config.php"
Magento_Deploy,1,"production app/etc/config.php"
Magento_Developer,1,"production app/etc/config.php"
Magento_Dhl,1,"production app/etc/config.php"
Magento_Directory,1,"production app/etc/config.php"
Magento_DirectoryGraphQl,1,"production app/etc/config.php"
Magento_Downloadable,1,"production app/etc/config.php"
Magento_DownloadableGraphQl,1,"production app/etc/config.php"
Magento_DownloadableImportExport,1,"production app/etc/config.php"
Magento_Eav,1,"production app/etc/config.php"
Magento_EavGraphQl,1,"production app/etc/config.php"
Magento_Elasticsearch,1,"production app/etc/config.php"
Magento_Elasticsearch8,1,"production app/etc/config.php"
Magento_Email,1,"production app/etc/config.php"
Magento_EncryptionKey,1,"production app/etc/config.php"
Magento_Fedex,1,"production app/etc/config.php"
Magento_GiftMessage,1,"production app/etc/config.php"
Magento_GiftMessageGraphQl,1,"production app/etc/config.php"
Magento_GoogleAdwords,0,"production app/etc/config.php"
Magento_GoogleAnalytics,1,"production app/etc/config.php"
Magento_GoogleGtag,1,"production app/etc/config.php"
Magento_GoogleOptimizer,0,"production app/etc/config.php"
Magento_GraphQl,1,"production app/etc/config.php"
Magento_GraphQlCache,1,"production app/etc/config.php"
Magento_GraphQlNewRelic,1,"production app/etc/config.php"
Magento_GraphQlResolverCache,1,"production app/etc/config.php"
Magento_GraphQlServer,1,"production app/etc/config.php"
Magento_GroupedCatalogInventory,1,"production app/etc/config.php"
Magento_GroupedImportExport,1,"production app/etc/config.php"
Magento_GroupedProduct,1,"production app/etc/config.php"
Magento_GroupedProductGraphQl,1,"production app/etc/config.php"
Magento_ImportExport,1,"production app/etc/config.php"
Magento_Indexer,1,"production app/etc/config.php"
Magento_InstantPurchase,1,"production app/etc/config.php"
Magento_Integration,1,"production app/etc/config.php"
Magento_IntegrationGraphQl,1,"production app/etc/config.php"
Magento_Inventory,1,"production app/etc/config.php"
Magento_InventoryAdminUi,1,"production app/etc/config.php"
Magento_InventoryAdvancedCheckout,1,"production app/etc/config.php"
Magento_InventoryApi,1,"production app/etc/config.php"
Magento_InventoryBundleImportExport,1,"production app/etc/config.php"
Magento_InventoryBundleProduct,1,"production app/etc/config.php"
Magento_InventoryBundleProductAdminUi,1,"production app/etc/config.php"
Magento_InventoryBundleProductIndexer,1,"production app/etc/config.php"
Magento_InventoryCache,1,"production app/etc/config.php"
Magento_InventoryCatalog,1,"production app/etc/config.php"
Magento_InventoryCatalogAdminUi,1,"production app/etc/config.php"
Magento_InventoryCatalogApi,1,"production app/etc/config.php"
Magento_InventoryCatalogFrontendUi,1,"production app/etc/config.php"
Magento_InventoryCatalogRule,1,"production app/etc/config.php"
Magento_InventoryCatalogSearch,1,"production app/etc/config.php"
Magento_InventoryCatalogSearchBundleProduct,1,"production app/etc/config.php"
Magento_InventoryCatalogSearchConfigurableProduct,1,"production app/etc/config.php"
Magento_InventoryConfigurableProduct,1,"production app/etc/config.php"
Magento_InventoryConfigurableProductAdminUi,1,"production app/etc/config.php"
Magento_InventoryConfigurableProductFrontendUi,1,"production app/etc/config.php"
Magento_InventoryConfigurableProductIndexer,1,"production app/etc/config.php"
Magento_InventoryConfiguration,1,"production app/etc/config.php"
Magento_InventoryConfigurationApi,1,"production app/etc/config.php"
Magento_InventoryDistanceBasedSourceSelection,1,"production app/etc/config.php"
Magento_InventoryDistanceBasedSourceSelectionAdminUi,1,"production app/etc/config.php"
Magento_InventoryDistanceBasedSourceSelectionApi,1,"production app/etc/config.php"
Magento_InventoryElasticsearch,1,"production app/etc/config.php"
Magento_InventoryExportStock,1,"production app/etc/config.php"
Magento_InventoryExportStockApi,1,"production app/etc/config.php"
Magento_InventoryGraphQl,1,"production app/etc/config.php"
Magento_InventoryGroupedProduct,1,"production app/etc/config.php"
Magento_InventoryGroupedProductAdminUi,1,"production app/etc/config.php"
Magento_InventoryGroupedProductIndexer,1,"production app/etc/config.php"
Magento_InventoryImportExport,1,"production app/etc/config.php"
Magento_InventoryInStorePickup,1,"production app/etc/config.php"
Magento_InventoryInStorePickupAdminUi,1,"production app/etc/config.php"
Magento_InventoryInStorePickupApi,1,"production app/etc/config.php"
Magento_InventoryInStorePickupFrontend,1,"production app/etc/config.php"
Magento_InventoryInStorePickupGraphQl,1,"production app/etc/config.php"
Magento_InventoryInStorePickupMultishipping,1,"production app/etc/config.php"
Magento_InventoryInStorePickupQuote,1,"production app/etc/config.php"
Magento_InventoryInStorePickupQuoteGraphQl,1,"production app/etc/config.php"
Magento_InventoryInStorePickupSales,1,"production app/etc/config.php"
Magento_InventoryInStorePickupSalesAdminUi,1,"production app/etc/config.php"
Magento_InventoryInStorePickupSalesApi,1,"production app/etc/config.php"
Magento_InventoryInStorePickupShipping,1,"production app/etc/config.php"
Magento_InventoryInStorePickupShippingAdminUi,1,"production app/etc/config.php"
Magento_InventoryInStorePickupShippingApi,1,"production app/etc/config.php"
Magento_InventoryInStorePickupWebapiExtension,1,"production app/etc/config.php"
Magento_InventoryIndexer,1,"production app/etc/config.php"
Magento_InventoryLowQuantityNotification,1,"production app/etc/config.php"
Magento_InventoryLowQuantityNotificationAdminUi,1,"production app/etc/config.php"
Magento_InventoryLowQuantityNotificationApi,1,"production app/etc/config.php"
Magento_InventoryMultiDimensionalIndexerApi,1,"production app/etc/config.php"
Magento_InventoryProductAlert,1,"production app/etc/config.php"
Magento_InventoryQuoteGraphQl,1,"production app/etc/config.php"
Magento_InventoryRequisitionList,1,"production app/etc/config.php"
Magento_InventoryReservationCli,1,"production app/etc/config.php"
Magento_InventoryReservations,1,"production app/etc/config.php"
Magento_InventoryReservationsApi,1,"production app/etc/config.php"
Magento_InventorySales,1,"production app/etc/config.php"
Magento_InventorySalesAdminUi,1,"production app/etc/config.php"
Magento_InventorySalesApi,1,"production app/etc/config.php"
Magento_InventorySalesAsyncOrder,1,"production app/etc/config.php"
Magento_InventorySalesFrontendUi,1,"production app/etc/config.php"
Magento_InventorySetupFixtureGenerator,1,"production app/etc/config.php"
Magento_InventoryShipping,1,"production app/etc/config.php"
Magento_InventoryShippingAdminUi,1,"production app/etc/config.php"
Magento_InventorySourceDeductionApi,1,"production app/etc/config.php"
Magento_InventorySourceSelection,1,"production app/etc/config.php"
Magento_InventorySourceSelectionApi,1,"production app/etc/config.php"
Magento_InventorySwatchesFrontendUi,1,"production app/etc/config.php"
Magento_InventoryVisualMerchandiser,1,"production app/etc/config.php"
Magento_InventoryWishlist,1,"production app/etc/config.php"
Magento_JwtFrameworkAdapter,1,"production app/etc/config.php"
Magento_JwtUserToken,1,"production app/etc/config.php"
Magento_LayeredNavigation,1,"production app/etc/config.php"
Magento_LoginAsCustomer,1,"production app/etc/config.php"
Magento_LoginAsCustomerAdminUi,1,"production app/etc/config.php"
Magento_LoginAsCustomerApi,1,"production app/etc/config.php"
Magento_LoginAsCustomerAssistance,1,"production app/etc/config.php"
Magento_LoginAsCustomerFrontendUi,1,"production app/etc/config.php"
Magento_LoginAsCustomerGraphQl,1,"production app/etc/config.php"
Magento_LoginAsCustomerLog,1,"production app/etc/config.php"
Magento_LoginAsCustomerPageCache,1,"production app/etc/config.php"
Magento_LoginAsCustomerQuote,1,"production app/etc/config.php"
Magento_LoginAsCustomerSales,1,"production app/etc/config.php"
Magento_Marketplace,0,"production app/etc/config.php"
Magento_MediaContent,1,"production app/etc/config.php"
Magento_MediaContentApi,1,"production app/etc/config.php"
Magento_MediaContentCatalog,1,"production app/etc/config.php"
Magento_MediaContentCms,1,"production app/etc/config.php"
Magento_MediaContentSynchronization,1,"production app/etc/config.php"
Magento_MediaContentSynchronizationApi,1,"production app/etc/config.php"
Magento_MediaContentSynchronizationCatalog,1,"production app/etc/config.php"
Magento_MediaContentSynchronizationCms,1,"production app/etc/config.php"
Magento_MediaGallery,1,"production app/etc/config.php"
Magento_MediaGalleryApi,1,"production app/etc/config.php"
Magento_MediaGalleryCatalog,1,"production app/etc/config.php"
Magento_MediaGalleryCatalogIntegration,1,"production app/etc/config.php"
Magento_MediaGalleryCatalogUi,1,"production app/etc/config.php"
Magento_MediaGalleryCmsUi,1,"production app/etc/config.php"
Magento_MediaGalleryIntegration,1,"production app/etc/config.php"
Magento_MediaGalleryMetadata,1,"production app/etc/config.php"
Magento_MediaGalleryMetadataApi,1,"production app/etc/config.php"
Magento_MediaGalleryRenditions,1,"production app/etc/config.php"
Magento_MediaGalleryRenditionsApi,1,"production app/etc/config.php"
Magento_MediaGallerySynchronization,1,"production app/etc/config.php"
Magento_MediaGallerySynchronizationApi,1,"production app/etc/config.php"
Magento_MediaGallerySynchronizationMetadata,1,"production app/etc/config.php"
Magento_MediaGalleryUi,1,"production app/etc/config.php"
Magento_MediaGalleryUiApi,1,"production app/etc/config.php"
Magento_MediaStorage,1,"production app/etc/config.php"
Magento_MessageQueue,1,"production app/etc/config.php"
Magento_Msrp,1,"production app/etc/config.php"
Magento_MsrpConfigurableProduct,1,"production app/etc/config.php"
Magento_MsrpGroupedProduct,1,"production app/etc/config.php"
Magento_Multishipping,1,"production app/etc/config.php"
Magento_MysqlMq,1,"production app/etc/config.php"
Magento_NewRelicReporting,1,"production app/etc/config.php"
Magento_Newsletter,1,"production app/etc/config.php"
Magento_NewsletterGraphQl,1,"production app/etc/config.php"
Magento_OfflinePayments,1,"production app/etc/config.php"
Magento_OfflineShipping,1,"production app/etc/config.php"
Magento_OpenSearch,1,"production app/etc/config.php"
Magento_OrderCancellation,1,"production app/etc/config.php"
Magento_OrderCancellationGraphQl,1,"production app/etc/config.php"
Magento_OrderCancellationUi,1,"production app/etc/config.php"
Magento_PageBuilder,1,"production app/etc/config.php"
Magento_PageBuilderAdminAnalytics,1,"production app/etc/config.php"
Magento_PageBuilderAnalytics,1,"production app/etc/config.php"
Magento_PageBuilderImageAttribute,1,"production app/etc/config.php"
Magento_PageCache,1,"production app/etc/config.php"
Magento_Payment,1,"production app/etc/config.php"
Magento_PaymentGraphQl,1,"production app/etc/config.php"
Magento_PaymentServicesBase,0,"production app/etc/config.php"
Magento_PaymentServicesDashboard,0,"production app/etc/config.php"
Magento_PaymentServicesPaypal,0,"production app/etc/config.php"
Magento_PaymentServicesPaypalGraphQl,0,"production app/etc/config.php"
Magento_PaymentServicesSaaSExport,0,"production app/etc/config.php"
Magento_Paypal,0,"production app/etc/config.php"
Magento_PaypalCaptcha,0,"production app/etc/config.php"
Magento_PaypalGraphQl,0,"production app/etc/config.php"
Magento_Persistent,1,"production app/etc/config.php"
Magento_ProductAlert,1,"production app/etc/config.php"
Magento_ProductVideo,1,"production app/etc/config.php"
Magento_QueryXml,1,"production app/etc/config.php"
Magento_Quote,1,"production app/etc/config.php"
Magento_QuoteAnalytics,1,"production app/etc/config.php"
Magento_QuoteBundleOptions,1,"production app/etc/config.php"
Magento_QuoteConfigurableOptions,1,"production app/etc/config.php"
Magento_QuoteDownloadableLinks,1,"production app/etc/config.php"
Magento_QuoteGraphQl,1,"production app/etc/config.php"
Magento_ReCaptchaAdminUi,1,"production app/etc/config.php"
Magento_ReCaptchaCheckout,1,"production app/etc/config.php"
Magento_ReCaptchaCheckoutSalesRule,1,"production app/etc/config.php"
Magento_ReCaptchaContact,1,"production app/etc/config.php"
Magento_ReCaptchaCustomer,1,"production app/etc/config.php"
Magento_ReCaptchaFrontendUi,1,"production app/etc/config.php"
Magento_ReCaptchaMigration,1,"production app/etc/config.php"
Magento_ReCaptchaNewsletter,1,"production app/etc/config.php"
Magento_ReCaptchaPaypal,1,"production app/etc/config.php"
Magento_ReCaptchaResendConfirmationEmail,1,"production app/etc/config.php"
Magento_ReCaptchaReview,1,"production app/etc/config.php"
Magento_ReCaptchaSendFriend,1,"production app/etc/config.php"
Magento_ReCaptchaStorePickup,1,"production app/etc/config.php"
Magento_ReCaptchaUi,1,"production app/etc/config.php"
Magento_ReCaptchaUser,1,"production app/etc/config.php"
Magento_ReCaptchaValidation,1,"production app/etc/config.php"
Magento_ReCaptchaValidationApi,1,"production app/etc/config.php"
Magento_ReCaptchaVersion2Checkbox,1,"production app/etc/config.php"
Magento_ReCaptchaVersion2Invisible,1,"production app/etc/config.php"
Magento_ReCaptchaVersion3Invisible,1,"production app/etc/config.php"
Magento_ReCaptchaWebapiApi,1,"production app/etc/config.php"
Magento_ReCaptchaWebapiGraphQl,1,"production app/etc/config.php"
Magento_ReCaptchaWebapiRest,1,"production app/etc/config.php"
Magento_ReCaptchaWebapiUi,1,"production app/etc/config.php"
Magento_ReCaptchaWishlist,1,"production app/etc/config.php"
Magento_RelatedProductGraphQl,1,"production app/etc/config.php"
Magento_ReleaseNotification,1,"production app/etc/config.php"
Magento_RemoteStorage,1,"production app/etc/config.php"
Magento_Reports,1,"production app/etc/config.php"
Magento_RequireJs,1,"production app/etc/config.php"
Magento_Review,1,"production app/etc/config.php"
Magento_ReviewAnalytics,1,"production app/etc/config.php"
Magento_ReviewGraphQl,1,"production app/etc/config.php"
Magento_Robots,1,"production app/etc/config.php"
Magento_Rss,1,"production app/etc/config.php"
Magento_Rule,1,"production app/etc/config.php"
Magento_SaaSCommon,1,"production app/etc/config.php"
Magento_Sales,1,"production app/etc/config.php"
Magento_SalesAnalytics,1,"production app/etc/config.php"
Magento_SalesDataExporter,1,"production app/etc/config.php"
Magento_SalesGraphQl,1,"production app/etc/config.php"
Magento_SalesInventory,1,"production app/etc/config.php"
Magento_SalesRule,1,"production app/etc/config.php"
Magento_SalesRuleGraphQl,1,"production app/etc/config.php"
Magento_SalesSequence,1,"production app/etc/config.php"
Magento_SampleData,1,"production app/etc/config.php"
Magento_Search,1,"production app/etc/config.php"
Magento_Security,1,"production app/etc/config.php"
Magento_Securitytxt,1,"production app/etc/config.php"
Magento_SendFriend,0,"production app/etc/config.php"
Magento_SendFriendGraphQl,0,"production app/etc/config.php"
Magento_ServiceProxy,1,"production app/etc/config.php"
Magento_ServicesConnector,1,"production app/etc/config.php"
Magento_ServicesId,1,"production app/etc/config.php"
Magento_ServicesIdGraphQlServer,1,"production app/etc/config.php"
Magento_ServicesIdLayout,1,"production app/etc/config.php"
Magento_Shipping,1,"production app/etc/config.php"
Magento_Sitemap,1,"production app/etc/config.php"
Magento_Stomp,1,"production app/etc/config.php"
Magento_Store,1,"production app/etc/config.php"
Magento_StoreDataExporter,1,"production app/etc/config.php"
Magento_StoreGraphQl,1,"production app/etc/config.php"
Magento_Swagger,0,"production app/etc/config.php"
Magento_SwaggerWebapi,0,"production app/etc/config.php"
Magento_SwaggerWebapiAsync,0,"production app/etc/config.php"
Magento_Swatches,1,"production app/etc/config.php"
Magento_SwatchesGraphQl,1,"production app/etc/config.php"
Magento_SwatchesLayeredNavigation,1,"production app/etc/config.php"
Magento_Tax,1,"production app/etc/config.php"
Magento_TaxGraphQl,1,"production app/etc/config.php"
Magento_TaxImportExport,1,"production app/etc/config.php"
Magento_Theme,1,"production app/etc/config.php"
Magento_ThemeGraphQl,1,"production app/etc/config.php"
Magento_Translation,1,"production app/etc/config.php"
Magento_TwoFactorAuth,1,"production app/etc/config.php"
Magento_Ui,1,"production app/etc/config.php"
Magento_Ups,1,"production app/etc/config.php"
Magento_UrlRewrite,1,"production app/etc/config.php"
Magento_UrlRewriteGraphQl,1,"production app/etc/config.php"
Magento_User,1,"production app/etc/config.php"
Magento_Usps,1,"production app/etc/config.php"
Magento_Variable,1,"production app/etc/config.php"
Magento_Vault,1,"production app/etc/config.php"
Magento_VaultGraphQl,1,"production app/etc/config.php"
Magento_Version,1,"production app/etc/config.php"
Magento_Webapi,1,"production app/etc/config.php"
Magento_WebapiAsync,1,"production app/etc/config.php"
Magento_WebapiSecurity,1,"production app/etc/config.php"
Magento_Weee,1,"production app/etc/config.php"
Magento_WeeeGraphQl,1,"production app/etc/config.php"
Magento_Widget,1,"production app/etc/config.php"
Magento_Wishlist,1,"production app/etc/config.php"
Magento_WishlistAnalytics,1,"production app/etc/config.php"
Magento_WishlistGraphQl,1,"production app/etc/config.php"
Mageplaza_Blog,1,"production app/etc/config.php"
Mageplaza_Core,1,"production app/etc/config.php"
Mageplaza_CronSchedule,1,"production app/etc/config.php"
Mageplaza_Smtp,1,"production app/etc/config.php"
Makewebbetter_HubIntegration,1,"production app/etc/config.php"
Mirasvit_Core,1,"production app/etc/config.php"
Mirasvit_Dashboard,1,"production app/etc/config.php"
Mirasvit_LandingPage,1,"production app/etc/config.php"
Mirasvit_Misspell,1,"production app/etc/config.php"
Mirasvit_Report,1,"production app/etc/config.php"
Mirasvit_ReportBuilder,1,"production app/etc/config.php"
Mirasvit_Reports,1,"production app/etc/config.php"
Mirasvit_Search,1,"production app/etc/config.php"
Mirasvit_SearchAutocomplete,1,"production app/etc/config.php"
Mirasvit_SearchElastic,1,"production app/etc/config.php"
Mirasvit_SearchGraphQl,1,"production app/etc/config.php"
Mirasvit_SearchLanding,1,"production app/etc/config.php"
Mirasvit_SearchMysql,1,"production app/etc/config.php"
Mirasvit_SearchReport,1,"production app/etc/config.php"
Mirasvit_SearchSphinx,1,"production app/etc/config.php"
Mirasvit_SearchUltimate,1,"production app/etc/config.php"
Omnisend_Omnisend,1,"production app/etc/config.php"
PayPal_Braintree,0,"production app/etc/config.php"
PayPal_BraintreeCustomerBalance,1,"production app/etc/config.php"
PayPal_BraintreeGiftCard,1,"production app/etc/config.php"
