package,owner_decision,constraint,initial_decision,source,repository_or_credential_risk,notes,confirmation_needed
mageplaza/module-smtp,,^4.7,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","No known credential-bearing repository in this row.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
mageworx/module-advancedproductoptions,,^2.39,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","No known credential-bearing repository in this row.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
mageworx/module-open-ai,,^1.3,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","No known credential-bearing repository in this row.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
mageworx/module-optionadvancedpricing,,^2.6,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
mageworx/module-ordereditor,,^3.11,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","No known credential-bearing repository in this row.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
mageworx/module-seosuiteultimate,,^2.40,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
mageworx/module-shorturls,,^1.2,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
microsoft/microsoft-graph,,^1.25,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
mirasvit/module-reports,,*,Defer,"legacy composer.json; needs production config/DB confirmation","Yes - legacy composer.json uses embedded Mirasvit repository credentials; coordinate ECOM-59 before any clean baseline.","Dependency inventory row pending owner/source/API/license review. Constraint is unbounded in legacy composer.json.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
mirasvit/module-search-ultimate,,*,Defer,"legacy composer.json; ECOM-20 ticket; needs production config/DB confirmation","Yes - legacy composer.json uses embedded Mirasvit repository credentials; coordinate ECOM-59 before any clean baseline.","Matches ECOM-20 known keep/defer category; do not add to clean composer baseline until technical review approves it. Constraint is unbounded in legacy composer.json.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
onelogin/php-saml,,^4.0,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
openspout/openspout,,^4.24,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
react/child-process,,^0.6.7,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
salsify/json-streaming-parser,,^8.3,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
tcdent/php-restclient,,^0.1.8,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
tmwk/client-prestashop-api,,^1.0,Defer,"legacy composer.json; needs production config/DB confirmation","No known credential-bearing repository in this row.","Dependency inventory row pending owner/source/API/license review.","owner approval; license/support; clean repository auth via ECOM-59 if private; DB usage; cron/jobs; API/headless impact; test coverage"
