namespace,module_dir,magento_module,owner_decision,path,file_count,initial_decision,source,notes,confirmation_needed
VUSA,GroupNotification,VUSA_GroupNotification,Keep,vusa244/app/code/VUSA/GroupNotification,13,"Rewrite Candidate","legacy repo scan; ECOM-20 ticket; ECOM-55 ticket","High-risk retained behavior or core/vendor override named in ECOM-55.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
VUSA,NicotineWarning,VUSA_NicotineWarning,Keep,vusa244/app/code/VUSA/NicotineWarning,4,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
VUSA,Optimization,VUSA_Optimization,Keep,vusa244/app/code/VUSA/Optimization,6,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
VUSA,PrintInvoice,VUSA_PrintInvoice,Keep,vusa244/app/code/VUSA/PrintInvoice,7,"Rewrite Candidate","legacy repo scan; ECOM-20 ticket; ECOM-55 ticket","High-risk retained behavior or core/vendor override named in ECOM-55.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
VUSA,RegionPayment,VUSA_RegionPayment,Keep,vusa244/app/code/VUSA/RegionPayment,5,"Rewrite Candidate","legacy repo scan; ECOM-20 ticket; ECOM-55 ticket","High-risk retained behavior or core/vendor override named in ECOM-55.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
VUSA,ResetPass,VUSA_ResetPass,Keep,vusa244/app/code/VUSA/ResetPass,4,"Rewrite Candidate","legacy repo scan; ECOM-20 ticket; ECOM-55 ticket","High-risk retained behavior or core/vendor override named in ECOM-55.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AdminShippingMethod,Vapewholesaleusa_AdminShippingMethod,Keep,vusa244/app/code/Vapewholesaleusa/AdminShippingMethod,16,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AdminUSPGROUNDShippingMethod,Vapewholesaleusa_AdminUSPGROUNDShippingMethod,Keep,vusa244/app/code/Vapewholesaleusa/AdminUSPGROUNDShippingMethod,15,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AgeVerification,Vapewholesaleusa_AgeVerification,Keep,vusa244/app/code/Vapewholesaleusa/AgeVerification,10,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AheadworksRewardPoints,Vapewholesaleusa_AheadworksRewardPoints,Keep,vusa244/app/code/Vapewholesaleusa/AheadworksRewardPoints,8,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,Ajax,Vapewholesaleusa_Ajax,Remove,vusa244/app/code/Vapewholesaleusa/Ajax,55,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AmastyAdminActionsLog,Vapewholesaleusa_AmastyAdminActionsLog,Keep,vusa244/app/code/Vapewholesaleusa/AmastyAdminActionsLog,15,"Rewrite Candidate","legacy repo scan; ECOM-20 ticket; ECOM-55 ticket","High-risk retained behavior or core/vendor override named in ECOM-55.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AmastyAdvancedReview,Vapewholesaleusa_AmastyAdvancedReview,Keep,vusa244/app/code/Vapewholesaleusa/AmastyAdvancedReview,8,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AmastyBannersLite,Vapewholesaleusa_AmastyBannersLite,Keep,vusa244/app/code/Vapewholesaleusa/AmastyBannersLite,5,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AmastyCheckoutCore,Vapewholesaleusa_AmastyCheckoutCore,Keep,vusa244/app/code/Vapewholesaleusa/AmastyCheckoutCore,15,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AmastyConditions,Vapewholesaleusa_AmastyConditions,Keep,vusa244/app/code/Vapewholesaleusa/AmastyConditions,5,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AmastyCustomerAttributes,Vapewholesaleusa_AmastyCustomerAttributes,Keep,vusa244/app/code/Vapewholesaleusa/AmastyCustomerAttributes,8,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AmastyGoogleAddressAutocomplete,Vapewholesaleusa_AmastyGoogleAddressAutocomplete,Keep,vusa244/app/code/Vapewholesaleusa/AmastyGoogleAddressAutocomplete,9,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AmastyHidePrice,Vapewholesaleusa_AmastyHidePrice,Keep,vusa244/app/code/Vapewholesaleusa/AmastyHidePrice,6,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AmastyImageOptimizer,Vapewholesaleusa_AmastyImageOptimizer,Keep,vusa244/app/code/Vapewholesaleusa/AmastyImageOptimizer,12,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AmastyNumber,Vapewholesaleusa_AmastyNumber,Keep,vusa244/app/code/Vapewholesaleusa/AmastyNumber,6,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AmastyPromo,Vapewholesaleusa_AmastyPromo,Keep,vusa244/app/code/Vapewholesaleusa/AmastyPromo,19,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AmastyRules,Vapewholesaleusa_AmastyRules,Keep,vusa244/app/code/Vapewholesaleusa/AmastyRules,4,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AmastySalesRuleWizard,Vapewholesaleusa_AmastySalesRuleWizard,Keep,vusa244/app/code/Vapewholesaleusa/AmastySalesRuleWizard,6,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AmastyShiprestriction,Vapewholesaleusa_AmastyShiprestriction,Keep,vusa244/app/code/Vapewholesaleusa/AmastyShiprestriction,7,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AmastyShopby,Vapewholesaleusa_AmastyShopby,Keep,vusa244/app/code/Vapewholesaleusa/AmastyShopby,6,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AmastyShopbyBrand,Vapewholesaleusa_AmastyShopbyBrand,Keep,vusa244/app/code/Vapewholesaleusa/AmastyShopbyBrand,5,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AmastyStoreCredit,Vapewholesaleusa_AmastyStoreCredit,Keep,vusa244/app/code/Vapewholesaleusa/AmastyStoreCredit,8,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AttributeRemover,Vapewholesaleusa_AttributeRemover,Keep,vusa244/app/code/Vapewholesaleusa/AttributeRemover,5,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,AutoHoldForCustomerGroup,Vapewholesaleusa_AutoHoldForCustomerGroup,Keep,vusa244/app/code/Vapewholesaleusa/AutoHoldForCustomerGroup,9,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,BestsellerSearchSort,Vapewholesaleusa_BestsellerSearchSort,Remove,vusa244/app/code/Vapewholesaleusa/BestsellerSearchSort,10,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,BestsellerWidget,Vapewholesaleusa_BestsellerWidget,Remove,vusa244/app/code/Vapewholesaleusa/BestsellerWidget,8,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,BssConfiguableGridView,Vapewholesaleusa_BssConfiguableGridView,Remove,vusa244/app/code/Vapewholesaleusa/BssConfiguableGridView,20,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,BuyNow,Vapewholesaleusa_BuyNow,Remove,vusa244/app/code/Vapewholesaleusa/BuyNow,14,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,CacheImprove,Vapewholesaleusa_CacheImprove,Remove,vusa244/app/code/Vapewholesaleusa/CacheImprove,43,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,CatalogProductCreateFlow,Vapewholesaleusa_CatalogProductCreateFlow,Keep,vusa244/app/code/Vapewholesaleusa/CatalogProductCreateFlow,9,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,CheckoutAddressConfirm,Vapewholesaleusa_CheckoutAddressConfirm,Keep,vusa244/app/code/Vapewholesaleusa/CheckoutAddressConfirm,14,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,CmindsSalesrep,Vapewholesaleusa_CmindsSalesrep,Keep,vusa244/app/code/Vapewholesaleusa/CmindsSalesrep,14,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,CriticalCss,Vapewholesaleusa_CriticalCss,Remove,vusa244/app/code/Vapewholesaleusa/CriticalCss,15,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,CustomerAttachment,Vapewholesaleusa_CustomerAttachment,Remove,vusa244/app/code/Vapewholesaleusa/CustomerAttachment,41,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,CustomerGroupPrice,Vapewholesaleusa_CustomerGroupPrice,Keep,vusa244/app/code/Vapewholesaleusa/CustomerGroupPrice,12,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,CustomerLicense,Vapewholesaleusa_CustomerLicense,Keep,vusa244/app/code/Vapewholesaleusa/CustomerLicense,16,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,CustomerQuoteValidator,Vapewholesaleusa_CustomerQuoteValidator,Keep,vusa244/app/code/Vapewholesaleusa/CustomerQuoteValidator,6,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,DeferJs,Vapewholesaleusa_DeferJs,Remove,vusa244/app/code/Vapewholesaleusa/DeferJs,6,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,EmailReplyTo,Vapewholesaleusa_EmailReplyTo,Keep,vusa244/app/code/Vapewholesaleusa/EmailReplyTo,10,"Rewrite Candidate","legacy repo scan; ECOM-20 ticket; ECOM-55 ticket","High-risk retained behavior or core/vendor override named in ECOM-55.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,EnhancedContact,Vapewholesaleusa_EnhancedContact,Keep,vusa244/app/code/Vapewholesaleusa/EnhancedContact,38,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,ExportInvoice,Vapewholesaleusa_ExportInvoice,Keep,vusa244/app/code/Vapewholesaleusa/ExportInvoice,17,"Rewrite Candidate","legacy repo scan; ECOM-20 ticket; ECOM-55 ticket","High-risk retained behavior or core/vendor override named in ECOM-55.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,FirebearImportExport,Vapewholesaleusa_FirebearImportExport,Keep,vusa244/app/code/Vapewholesaleusa/FirebearImportExport,5,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,FluidPay,Vapewholesaleusa_FluidPay,Remove,vusa244/app/code/Vapewholesaleusa/FluidPay,51,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,GoogleAddressVerification,Vapewholesaleusa_GoogleAddressVerification,Keep,vusa244/app/code/Vapewholesaleusa/GoogleAddressVerification,38,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,HubIntegration,Vapewholesaleusa_HubIntegration,Remove,vusa244/app/code/Vapewholesaleusa/HubIntegration,9,Remove,"legacy repo scan; ECOM-20 ticket","Known remove/theme/dead integration candidate unless backend/admin behavior is explicitly justified.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,ImageClean,Vapewholesaleusa_ImageClean,Remove,vusa244/app/code/Vapewholesaleusa/ImageClean,28,"Rewrite Candidate","legacy repo scan; ECOM-20 ticket; ECOM-55 ticket","High-risk retained behavior or core/vendor override named in ECOM-55.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,LockedTransactionIdentifier,Vapewholesaleusa_LockedTransactionIdentifier,Remove,vusa244/app/code/Vapewholesaleusa/LockedTransactionIdentifier,10,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,MageSuiteMagepack,Vapewholesaleusa_MageSuiteMagepack,Keep,vusa244/app/code/Vapewholesaleusa/MageSuiteMagepack,7,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,MageWorxOrderEditor,Vapewholesaleusa_MageWorxOrderEditor,Keep,vusa244/app/code/Vapewholesaleusa/MageWorxOrderEditor,23,Defer,"legacy repo scan; ECOM-20 ticket; needs production config/DB confirmation","Matches ECOM-20 known keep category; source, owner, DB usage, and headless/API impact still need confirmation.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,MageWorxOrdersGrid,Vapewholesaleusa_MageWorxOrdersGrid,Keep,vusa244/app/code/Vapewholesaleusa/MageWorxOrdersGrid,13,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,MageWorxSeoAll,Vapewholesaleusa_MageWorxSeoAll,Keep,vusa244/app/code/Vapewholesaleusa/MageWorxSeoAll,5,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,MageWorxSeoMarkup,Vapewholesaleusa_MageWorxSeoMarkup,Keep,vusa244/app/code/Vapewholesaleusa/MageWorxSeoMarkup,11,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,MagentoCatalog,Vapewholesaleusa_MagentoCatalog,Keep,vusa244/app/code/Vapewholesaleusa/MagentoCatalog,38,"Rewrite Candidate","legacy repo scan; ECOM-20 ticket; ECOM-55 ticket","High-risk retained behavior or core/vendor override named in ECOM-55.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,MagentoCatalogInventory,Vapewholesaleusa_MagentoCatalogInventory,Keep,vusa244/app/code/Vapewholesaleusa/MagentoCatalogInventory,15,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
Vapewholesaleusa,MagentoCatalogSearch,Vapewholesaleusa_MagentoCatalogSearch,Keep,vusa244/app/code/Vapewholesaleusa/MagentoCatalogSearch,9,Defer,"legacy repo scan; needs production config/DB confirmation","Inventory-only row pending owner/source/API review.","production app/etc/config.php or setup_module DB state; owner decision; DB tables; cron; observers/plugins/preferences; GraphQL/REST impact; license/support; test coverage"
